Agent,Game,Action balanced replay buffer,Abandon ship,Grammar,Seed,25000,50000,75000,100000,125000,150000,175000,200000,225000,250000,275000,300000,325000,350000
No Action Balanced Replay Buffer,Action Balanced Replay Buffer Ablation Study,FALSE,Abandon ship 1.0,IGGI,2573980213,132.5,156.666667,240,345,354.166667,275.833333,390,431.666667,607.5,537.5,530,670.833333,580.833333,677.5
No Action Balanced Replay Buffer,Action Balanced Replay Buffer Ablation Study,FALSE,Abandon ship 1.0,IGGI,853286407,1.666667,296.666667,171.666667,295.833333,288.333333,319.166667,588.333333,495,521.666667,610.833333,646.666667,546.666667,665,673.333333
With Action Balanced Replay Buffer,Action Balanced Replay Buffer Ablation Study,TRUE,Abandon ship 1.0,IGGI,3371768399,309.166667,80,270,224.166667,303.333333,570,477.5,499.166667,536.666667,527.5,660,640,624.166667,639.166667
With Action Balanced Replay Buffer,Action Balanced Replay Buffer Ablation Study,TRUE,Abandon ship 1.0,IGGI,1136464578,82.5,237.5,291.666667,413.333333,263.333333,273.333333,365.833333,507.5,495.833333,575,616.666667,578.333333,700,482.5
With Action Balanced Replay Buffer,Action Balanced Replay Buffer Ablation Study,TRUE,Abandon ship 1.0,IGGI,3654173039,263.333333,300.833333,121.666667,201.666667,317.5,415,532.5,491.666667,544.166667,625.833333,665.833333,585.833333,475,496.666667
With Action Balanced Replay Buffer,Action Balanced Replay Buffer Ablation Study,TRUE,Abandon ship 1.0,IGGI,2573980213,132.5,156.666667,240,315.833333,405.833333,360.833333,604.166667,602.5,602.5,648.333333,642.5,702.5,641.666667,901.666667
With Action Balanced Replay Buffer,Action Balanced Replay Buffer Ablation Study,TRUE,Abandon ship 1.0,IGGI,853286407,1.666667,296.666667,171.666667,406.666667,400,467.5,650,636.666667,635,353.333333,754.166667,610.833333,597.5,739.166667
DDQN,Action Balanced Replay Buffer Ablation Study,N/A,N/A,N/A,3371768399,20.833333,29.166667,253.333333,300,318.333333,353.333333,181.666667,433.333333,415.833333,337.5,248.333333,465,302.5,449.166667
DDQN,Action Balanced Replay Buffer Ablation Study,N/A,N/A,N/A,1136464578,60,197.5,151.666667,242.5,170.833333,389.166667,500,327.5,315,345.833333,340,222.5,342.5,380
DDQN,Action Balanced Replay Buffer Ablation Study,N/A,N/A,N/A,3654173039,145,268.333333,355.833333,326.666667,281.666667,317.5,202.5,244.166667,335,383.333333,449.166667,184.166667,308.333333,387.5
DDQN,Action Balanced Replay Buffer Ablation Study,N/A,N/A,N/A,2573980213,204.166667,125.833333,242.5,126.666667,208.333333,300.833333,286.666667,156.666667,392.5,297.5,295.833333,375.833333,429.166667,392.5
DDQN,Action Balanced Replay Buffer Ablation Study,N/A,N/A,N/A,853286407,290.833333,265.833333,277.5,326.666667,365.833333,416.666667,436.666667,315,383.333333,324.166667,467.5,275.833333,422.5,388.333333
Sequitur k: 2,Grammar Inference Ablation Study,TRUE,Abandon ship 1.0,Sequitur k=2,3371768399,309.166667,80,270,150.833333,443.333333,530,500.833333,405.833333,386.666667,488.333333,507.5,522.5,394.166667,476.666667
Sequitur k: 2,Grammar Inference Ablation Study,TRUE,Abandon ship 1.0,Sequitur k=2,1136464578,82.5,237.5,291.666667,267.5,355,307.5,278.333333,436.666667,420.833333,585,626.666667,821.666667,533.333333,567.5
Sequitur k: 2,Grammar Inference Ablation Study,TRUE,Abandon ship 1.0,Sequitur k=2,3654173039,263.333333,300.833333,121.666667,375,257.5,484.166667,395.833333,438.333333,500,462.5,460.833333,537.5,361.666667,354.166667
Sequitur k: 2,Grammar Inference Ablation Study,TRUE,Abandon ship 1.0,Sequitur k=2,2573980213,132.5,156.666667,240,265,280,319.166667,343.333333,235.833333,355.833333,270.833333,453.333333,570.833333,654.166667,465
Sequitur k: 2,Grammar Inference Ablation Study,TRUE,Abandon ship 1.0,Sequitur k=2,853286407,1.666667,296.666667,171.666667,310,456.666667,332.5,505.833333,456.666667,520.833333,550.833333,454.166667,355,386.666667,670
Sequitur k: 10,Grammar Inference Ablation Study,TRUE,Abandon ship 1.0,Sequitur k=10,3371768399,309.166667,80,270,299.166667,308.333333,462.5,372.5,579.166667,529.166667,475.833333,489.166667,493.333333,575.833333,654.166667
Sequitur k: 10,Grammar Inference Ablation Study,TRUE,Abandon ship 1.0,Sequitur k=10,1136464578,82.5,237.5,291.666667,265,257.5,435,660.833333,522.5,652.5,583.333333,693.333333,650.833333,635.833333,664.166667
Sequitur k: 10,Grammar Inference Ablation Study,TRUE,Abandon ship 1.0,Sequitur k=10,3654173039,263.333333,300.833333,121.666667,385,408.333333,434.166667,543.333333,605.833333,633.333333,528.333333,604.166667,719.166667,612.5,530
Sequitur k: 10,Grammar Inference Ablation Study,TRUE,Abandon ship 1.0,Sequitur k=10,2573980213,132.5,156.666667,240,243.333333,350.833333,562.5,649.166667,725,603.333333,700.833333,674.166667,712.5,730.833333,662.5
Sequitur k: 10,Grammar Inference Ablation Study,TRUE,Abandon ship 1.0,Sequitur k=10,853286407,1.666667,296.666667,171.666667,343.333333,321.666667,240.833333,553.333333,623.333333,702.5,625,630.833333,633.333333,780,741.666667
Sequitur k: 5,Grammar Inference Ablation Study,TRUE,Abandon ship 1.0,Sequitur k=5,3371768399,309.166667,80,270,279.166667,310.833333,559.166667,542.5,657.5,631.666667,557.5,644.166667,646.666667,443.333333,505
Sequitur k: 5,Grammar Inference Ablation Study,TRUE,Abandon ship 1.0,Sequitur k=5,1136464578,82.5,237.5,291.666667,317.5,441.666667,539.166667,637.5,489.166667,519.166667,633.333333,561.666667,637.5,537.5,641.666667
Sequitur k: 5,Grammar Inference Ablation Study,TRUE,Abandon ship 1.0,Sequitur k=5,3654173039,263.333333,300.833333,121.666667,370,523.333333,460.833333,610,704.166667,620,313.333333,666.666667,580.833333,581.666667,575
Sequitur k: 5,Grammar Inference Ablation Study,TRUE,Abandon ship 1.0,Sequitur k=5,2573980213,132.5,156.666667,240,431.666667,401.666667,283.333333,405,672.5,656.666667,638.333333,524.166667,598.333333,690,770.833333
